company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
Procter & Gamble,Data Engineer - Data & Analytics,"Cincinnati, OH",10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,$10+ billion (USD),data engineer,Senior,OH,101571.0,1837.0,0.0,4.2,1.0,0.0,1.0,0.0,0.0,0.0,168.0,185.0,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern
1904labs,Data Engineer (St. Louis or remote),"Saint Louis, MO",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,MO,64380.0,2016.0,0.0,4.8,1.0,1.0,1.0,1.0,0.0,0.0,575.0,6.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Midwestern
Logistics Management Institute,Junior Data Engineer,"Tampa, FL",1001 to 5000 Employees,Company - Private,Management & Consulting,Business Consulting,$100 to $500 million (USD),data engineer,junior,FL,92430.0,1961.0,0.0,4.3,1.0,0.0,1.0,1.0,0.0,1.0,428.0,61.0,Large company,Company - Private,Business services,$100 million to $1 billion (USD),Southern
Delta,Data Engineer,"Atlanta, GA",10000+ Employees,Company - Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",$10+ billion (USD),data engineer,Senior,GA,108168.0,1928.0,0.0,4.3,1.0,1.0,0.0,0.0,1.0,1.0,380.0,94.0,Huge company,Company - Public,Other sectors,$10+ billion (USD),Southern
Afia Inc.,Data Engineer - Remote,"Ann Arbor, MI",1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,$5 to $25 million (USD),data engineer,junior,MI,72604.0,2007.0,0.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,308.0,15.0,Small company,Company - Private,Business services,$5 to $100 million (USD),Midwestern
Open Road Media,Junior Data Engineer,"New York, NY",1 to 50 Employees,Company - Private,Media & Communication,Publishing,Unknown / Non-Applicable,data engineer,junior,NY,65000.0,1944.3,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,267.0,77.7,Small company,Company - Private,Media and Entertaiment,Unknown / Non-Applicable,Northeastern
Hyper cod,Data Engineer,Remote,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,data engineer,Senior,Remote,137324.0,1988.4,0.0,4.16,1.0,1.0,0.0,1.0,0.0,0.0,285.0,33.6,Unknown size,Other institutions,Unknown,Unknown / Non-Applicable,Remote
Barclays,Big Data Engineer,"Whippany, NJ",10000+ Employees,Company - Public,Financial Services,Banking & Lending,$10+ billion (USD),data engineer,Senior,NJ,105696.0,1690.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,350.0,332.0,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern
CAT Software Services,GCP Data Engineer/Developer,"Alpharetta, GA",501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,data engineer,Senior,GA,118000.0,2007.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,340.0,15.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Southern
Super Logi,Data Engineer( Training and placement),"Princeton, NJ",Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,NJ,72500.0,1950.0,0.0,3.9400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,77.0,72.0,Unknown size,Other institutions,Unknown,Unknown / Non-Applicable,Northeastern
Xiartech,Big Data Engineer,Remote,1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,130000.0,2018.1,0.0,3.3,1.0,1.0,0.0,1.0,0.0,0.0,162.0,3.9,Small company,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Apexon,Lead Data Engineer/ Lead Software Engineer,Remote,5001 to 10000 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data engineer,Senior,Remote,150000.0,1996.0,1.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,366.0,26.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote
Activision,Big Data Engineer,"Santa Monica, CA",1001 to 5000 Employees,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,$500 million to $1 billion (USD),data engineer,Senior,CA,143877.0,1979.0,0.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,701.0,43.0,Large company,Other institutions,Media and Entertaiment,$100 million to $1 billion (USD),Western
Digital Plus Solution,Azure Data Engineer,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data engineer,mid,Remote,100000.0,1889.0,1.0,3.84,0.0,0.0,1.0,0.0,0.0,0.0,73.0,133.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
BOEING,Entry-Level or Associate Multidiscipline Engineer (Data Engineer),"Seal Beach, CA",10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),data engineer,junior,CA,81446.0,1916.0,0.0,3.8,1.0,0.0,0.0,0.0,1.0,1.0,663.0,106.0,Huge company,Company - Public,Other sectors,$10+ billion (USD),Western
Liberty Source,Data Engineer,"Hampton, VA",51 to 200 Employees,Company - Private,Management & Consulting,Business Consulting,$5 to $25 million (USD),data engineer,Senior,VA,90526.0,2014.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,441.0,8.0,Medium-sized company,Company - Private,Business services,$5 to $100 million (USD),Southern
Education Analytics,Analytics Engineer / Data Engineer,Remote,51 to 200 Employees,Company - Private,Management & Consulting,Research & Development,$5 to $25 million (USD),data engineer,Senior,Remote,105000.0,2012.0,0.0,4.5,1.0,0.0,0.0,1.0,0.0,0.0,660.0,10.0,Medium-sized company,Company - Private,Business services,$5 to $100 million (USD),Remote
