company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
"US News & World Report ,L.P.",Data Analyst,"Washington, DC",201 to 500 Employees,Company - Private,Media & Communication,Publishing,$100 to $500 million (USD),data analyst,Senior,DC,65776.0,1933.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,257.0,89.0,Medium-sized company,Company - Private,Media and Entertaiment,$100 million to $1 billion (USD),Southern
Skill bir,Data Analyst,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data analyst,Senior,Remote,113000.0,1996.7,1.0,3.9499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,175.0,25.3,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Bayer,Data Analyst (Mid),"Creve Coeur, MO",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),data analyst,Senior,MO,70879.0,1863.0,0.0,4.2,0.0,0.0,0.0,0.0,1.0,0.0,340.0,159.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern
Tarrant County Homeless Coalition,Data Analyst,"Tarrant City, AL",1 to 50 Employees,Nonprofit Organization,Unknown,Unknown,Unknown / Non-Applicable,data analyst,junior,AL,53877.0,1960.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,57.0,61.7,Small company,Other institutions,Unknown,Unknown / Non-Applicable,Southern
Coahoma Community College,Data Analyst,"Clarksdale, MS",201 to 500 Employees,College / University,Education,Colleges & Universities,$5 to $25 million (USD),data analyst,Senior,MS,46739.0,1951.5,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,432.0,70.5,Medium-sized company,Other institutions,Other sectors,$5 to $100 million (USD),Southern
Elite ProTe,Data Analyst,"Wilmington, DE",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data analyst,mid,DE,75000.0,1997.2,1.0,4.130000000000001,0.0,0.0,0.0,0.0,1.0,0.0,197.0,24.8,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
Horace Mann,Data Analyst,"Springfield, IL",1001 to 5000 Employees,Company - Public,Insurance,Insurance Carriers,$1 to $5 billion (USD),data analyst,Senior,IL,67882.0,1945.0,0.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,250.0,77.0,Large company,Company - Public,Financial and housing services,$1 to $10 billion (USD),Midwestern
Down to Earth Esthetics LL,Data Analyst,"Patterson, LA",Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,data analyst,mid,LA,78797.0,1945.6,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,43.0,76.4,Unknown size,Other institutions,Unknown,Unknown / Non-Applicable,Southern
HealthFirst,Healthcare Data Analyst,"New York, NY",5001 to 10000 Employees,Nonprofit Organization,Insurance,Insurance Carriers,Unknown / Non-Applicable,data analyst,Senior,NY,86446.0,1993.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,441.0,29.0,Large company,Other institutions,Financial and housing services,Unknown / Non-Applicable,Northeastern
Dutech System,Data Analyst with AIX and SQL,"Austin, TX",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$1 to $5 million (USD),data analyst,Senior,TX,125000.0,2015.0,1.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,357.0,7.0,Medium-sized company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Southern
Discove,Remote Data Analyst,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data analyst,Senior,Remote,105000.0,2009.5,1.0,4.590000000000001,0.0,0.0,0.0,0.0,0.0,0.0,158.0,12.5,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
McDermott+Consulting,Healthcare Data Analyst,"Boston, MA",1 to 50 Employees,Private Practice / Firm,Unknown,Unknown,Less than $1 million (USD),data analyst,Senior,MA,82132.0,1971.8,0.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,582.0,50.2,Small company,Other institutions,Unknown,Less than $5 million (USD),Northeastern
"Odyssey Systems Consulting Group, Ltd.",Python Developer/Data Analyst,"Bethesda, MD",501 to 1000 Employees,Company - Private,Management & Consulting,Business Consulting,$100 to $500 million (USD),data analyst,mid,MD,80867.0,1997.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,353.0,25.0,Large company,Company - Private,Business services,$100 million to $1 billion (USD),Southern
Braintrust,Sr. Finance Data Analyst,"San Francisco, CA",Unknown,Company - Private,Management & Consulting,Business Consulting,$5 to $25 million (USD),data analyst,Senior,CA,270000.0,2018.0,1.0,4.6,0.0,0.0,0.0,0.0,1.0,0.0,597.0,4.0,Unknown size,Company - Private,Business services,$5 to $100 million (USD),Western
Eastridge,Data Analyst,"Texas City, TX",201 to 500 Employees,Company - Private,Human Resources & Staffing,HR Consulting,$100 to $500 million (USD),data analyst,mid,TX,97500.0,1972.0,0.0,4.5,1.0,0.0,0.0,1.0,0.0,0.0,187.0,50.0,Medium-sized company,Company - Private,Business services,$100 million to $1 billion (USD),Southern
Concept Software & Services Inc,Bordereaux Data Analyst,Remote,Unknown,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data analyst,mid,Remote,130000.0,1998.0,1.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,165.0,24.0,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Remote
International Center for Language Studies,Data Analyst I,"Arlington, VA",51 to 200 Employees,Company - Private,Unknown,Unknown,$1 to $5 million (USD),data analyst,Senior,VA,61917.0,1923.2,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,154.0,98.8,Medium-sized company,Company - Private,Unknown,Less than $5 million (USD),Southern
CASES,Data Analyst,"Brooklyn, NY",201 to 500 Employees,Nonprofit Organization,Nonprofit & NGO,Civic & Social Services,$25 to $100 million (USD),data analyst,Senior,NY,52000.0,1989.0,0.0,2.6,0.0,0.0,0.0,0.0,1.0,0.0,407.0,33.0,Medium-sized company,Other institutions,Other sectors,$5 to $100 million (USD),Northeastern
D3 AIR AND SPACE OPERATIONS INC,ACC Readiness Data Analyst,"Langley AFB, VA",201 to 500 Employees,Government,Transportation & Logistics,Taxi & Car Services,Unknown / Non-Applicable,data analyst,Senior,AF,71583.0,1935.6,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,285.0,86.4,Medium-sized company,Other institutions,Other sectors,Unknown / Non-Applicable,Southern
Premier Truck Rental,Data Analyst,"Fort Wayne, IN",51 to 200 Employees,Company - Private,"Construction, Repair & Maintenance Services",Construction,Unknown / Non-Applicable,data analyst,mid,IN,58056.0,2014.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,200.0,8.0,Medium-sized company,Company - Private,Industry,Unknown / Non-Applicable,Midwestern
Staffing Solutions Organization LLC (SSO),Data Analyst - Quality Improvement,"Albany, NY",201 to 500 Employees,Subsidiary or Business Segment,Management & Consulting,Business Consulting,Unknown / Non-Applicable,data analyst,mid,NY,68617.0,2017.0,0.0,4.4,1.0,0.0,0.0,0.0,1.0,0.0,292.0,5.0,Medium-sized company,Other institutions,Business services,Unknown / Non-Applicable,Northeastern
Dew Software,Data Modeler/Data Analyst,Remote,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data analyst,mid,Remote,120000.0,1997.0,1.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,177.0,25.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
Wolfe Eye Clinic,Data Analyst,"Marshalltown, IA",Unknown,Company - Private,Healthcare,Health Care Services & Hospitals,Unknown / Non-Applicable,data analyst,mid,IA,52032.0,1960.2,0.0,3.4,1.0,0.0,0.0,0.0,1.0,0.0,215.0,61.8,Unknown size,Company - Private,Healthcare,Unknown / Non-Applicable,Midwestern
Axle Informatics,Data Analyst,"Bethesda, MD",501 to 1000 Employees,Company - Private,Management & Consulting,Research & Development,$100 to $500 million (USD),data analyst,Senior,MD,76720.0,2002.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,552.0,20.0,Large company,Company - Private,Business services,$100 million to $1 billion (USD),Southern
Arcadis,Data Analyst (Excel Expert),"Long Island City, NY",10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Construction,$1 to $5 billion (USD),data analyst,mid,NY,101500.0,1888.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,534.0,134.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Northeastern
UC San Diego,Research Data Analyst 1,"San Diego, CA",10000+ Employees,College / University,Education,Colleges & Universities,Unknown / Non-Applicable,data analyst,mid,CA,53640.0,1960.0,1.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,663.0,62.0,Huge company,Other institutions,Other sectors,Unknown / Non-Applicable,Western
PCS GLOBAL TECH,Data Analyst |Training|,"Ithaca, NY",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data analyst,mid,NY,77339.0,1957.9,0.0,4.7,0.0,0.0,0.0,0.0,1.0,0.0,234.0,64.1,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
"Cameo Consulting Group, LL",A122 Data Analyst,Remote,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),data analyst,Senior,Remote,100000.0,1983.0,0.0,4.369999999999999,1.0,0.0,0.0,0.0,1.0,0.0,324.0,39.0,Small company,Company - Private,Unknown,Less than $5 million (USD),Remote
"CGI Group, Inc.",Junior Data Analyst,"Washington, DC",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$10+ billion (USD),data analyst,junior,DC,68871.0,1976.0,0.0,3.9,1.0,0.0,0.0,0.0,1.0,0.0,989.0,46.0,Huge company,Company - Public,Business services,$10+ billion (USD),Southern
Realign LLC,Data Entry Analyst,"Atlanta, GA",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data analyst,junior,GA,39855.0,1972.8,0.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,51.0,49.2,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
North Shore Bank,Data Analyst,"Brookfield, WI",201 to 500 Employees,Company - Private,Financial Services,Banking & Lending,$25 to $100 million (USD),data analyst,Senior,WI,63211.0,1923.0,0.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,547.0,99.0,Medium-sized company,Company - Private,Financial and housing services,$5 to $100 million (USD),Midwestern
Procal Technologies,Data Analyst,Remote,Unknown,Company - Private,Management & Consulting,Business Consulting,Unknown / Non-Applicable,data analyst,mid,Remote,60000.0,1911.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,174.0,110.4,Unknown size,Company - Private,Business services,Unknown / Non-Applicable,Remote
Obie,Data Analyst,"Chicago, IL",1 to 50 Employees,Company - Private,Insurance,Insurance Carriers,Unknown / Non-Applicable,data analyst,Senior,IL,72658.0,2017.0,0.0,4.9,1.0,0.0,0.0,1.0,0.0,0.0,414.0,5.0,Small company,Company - Private,Financial and housing services,Unknown / Non-Applicable,Midwestern
Geneva Management,Entry Level Data Analyst - Automotive Data Analyst - Remote WFH - DMV Preferred,"Reston, VA",51 to 200 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data analyst,junior,VA,26000.0,1959.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,370.0,63.0,Medium-sized company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Royal Communications Consultants Inc,Data Analyst - PowerApps,"New York, NY",1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,$1 to $5 million (USD),data analyst,Senior,NY,86500.0,2001.5,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,233.0,20.5,Small company,Company - Private,IT and Telecommunications,Less than $5 million (USD),Northeastern
BCM,JR. DATA ANALYST,"San Juan, PR",1 to 50 Employees,Company - Private,Financial Services,Investment & Asset Management,Unknown / Non-Applicable,data analyst,junior,PR,46220.0,2008.0,0.0,4.15,0.0,0.0,0.0,0.0,1.0,0.0,283.0,14.0,Small company,Company - Private,Financial and housing services,Unknown / Non-Applicable,Southern
Market Resource Partners,Jr. Data Analyst,"Philadelphia, PA",501 to 1000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,$25 to $100 million (USD),data analyst,junior,PA,58162.0,2002.0,0.0,3.5,1.0,0.0,0.0,0.0,1.0,0.0,466.0,20.0,Large company,Company - Public,IT and Telecommunications,$5 to $100 million (USD),Northeastern
Kitestring,Reporting/Data Analyst,"Rogers, AR",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data analyst,junior,AR,74844.0,1997.0,0.0,4.8,0.0,0.0,0.0,0.0,1.0,0.0,143.0,25.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Southern
Schlumberger,Geoservices Data Analyst,"Youngsville, LA",10000+ Employees,Company - Public,"Energy, Mining & Utilities",Energy & Utilities,$10+ billion (USD),data analyst,Senior,LA,77299.0,1926.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,96.0,Huge company,Company - Public,Industry,$10+ billion (USD),Southern
S&P Global,Data Analyst,"New York, NY",10000+ Employees,Company - Public,Management & Consulting,Research & Development,$5 to $10 billion (USD),data analyst,Senior,NY,101043.0,1888.0,0.0,4.1,1.0,0.0,0.0,1.0,1.0,0.0,823.0,134.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Northeastern
cro,Data Analyst,"Irving, TX",Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,data analyst,Senior,TX,155000.0,2011.0,1.0,4.07,0.0,0.0,0.0,1.0,1.0,0.0,243.0,11.0,Unknown size,Other institutions,Unknown,Unknown / Non-Applicable,Southern
HERSHEY MX,Packaging Data Analyst,"Hershey, PA",10000+ Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,$5 to $10 billion (USD),data analyst,junior,PA,56614.0,1894.0,0.0,3.9,0.0,0.0,0.0,0.0,1.0,0.0,344.0,128.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Northeastern
Settlement Health,Population Health Data Analyst,"New York, NY",51 to 200 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,Unknown / Non-Applicable,data analyst,Senior,NY,67500.0,1978.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,316.0,44.0,Medium-sized company,Company - Private,Healthcare,Unknown / Non-Applicable,Northeastern
Parallel,Cultivation Data Analyst,"Tampa, FL",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data analyst,Senior,FL,50637.0,1960.2,0.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,606.0,61.8,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Deloitte,Data Analyst,"Lake Mary, FL",10000+ Employees,Company - Private,Financial Services,Accounting & Tax,$10+ billion (USD),data analyst,Senior,FL,65004.0,1850.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,921.0,172.0,Huge company,Company - Private,Financial and housing services,$10+ billion (USD),Southern
OhioHealth,EMPI Data Analyst,"Columbus, OH",10000+ Employees,Nonprofit Organization,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data analyst,junior,OH,72374.0,1891.0,0.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,381.0,131.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Midwestern
Silent Falcon UAS Technologies,Data Analyst,"Front Royal, VA",1 to 50 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,data analyst,Senior,VA,65148.0,1987.4,0.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,158.0,34.6,Small company,Company - Private,Other sectors,Unknown / Non-Applicable,Southern
Baked By Melissa,Junior Data Analyst,"New York, NY",201 to 500 Employees,Company - Private,Retail & Wholesale,Food & Beverage Stores,Unknown / Non-Applicable,data analyst,junior,NY,65000.0,2008.0,0.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,292.0,14.0,Medium-sized company,Company - Private,Other sectors,Unknown / Non-Applicable,Northeastern
Crumbl Cookies,Data Analyst,"Lindon, UT",201 to 500 Employees,Franchise,Restaurants & Food Service,Restaurants & Cafes,Unknown / Non-Applicable,data analyst,Senior,UT,57839.0,2017.0,0.0,4.6,1.0,0.0,0.0,0.0,1.0,0.0,526.0,5.0,Medium-sized company,Other institutions,Other sectors,Unknown / Non-Applicable,Western
Hudson Technologies Inc,Data Analyst,"Woodcliff Lake, NJ",51 to 200 Employees,Company - Public,Management & Consulting,Building & Personnel Services,$100 to $500 million (USD),data analyst,Senior,NJ,81136.0,1961.8,0.0,3.2,0.0,0.0,0.0,0.0,1.0,0.0,310.0,60.2,Medium-sized company,Company - Public,Business services,$100 million to $1 billion (USD),Northeastern
Fabletics,Data Analyst,California,Unknown,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data analyst,Senior,CA,86650.0,2013.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,655.0,9.0,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Deloitte,Data Analyst,"Lake Mary, FL",10000+ Employees,Company - Private,Financial Services,Accounting & Tax,$10+ billion (USD),data analyst,Senior,FL,65004.0,1850.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,921.0,172.0,Huge company,Company - Private,Financial and housing services,$10+ billion (USD),Southern
Fabletics,Data Analyst,California,Unknown,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data analyst,Senior,CA,86650.0,2013.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,657.0,9.0,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Booz Allen Hamilton,Data Analyst,"Rome, NY",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$5 to $10 billion (USD),data analyst,mid,NY,45000.0,1914.0,1.0,4.2,1.0,0.0,0.0,0.0,0.0,1.0,328.0,108.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Northeastern
AstraZeneca Pharmaceuticals Inc,Intenships in Machine Learning Research,"Gaithersburg, MD",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),machine learning engineer,mid,MD,73338.0,1913.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,126.0,109.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Southern
Toyota Research Institute,Machine Learning Research Scientist - Natural Language Processing,"Los Altos, CA",201 to 500 Employees,Subsidiary or Business Segment,Management & Consulting,Research & Development,Unknown / Non-Applicable,machine learning engineer,Senior,CA,180900.0,2016.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,471.0,6.0,Medium-sized company,Other institutions,Business services,Unknown / Non-Applicable,Western
MIT Lincoln Laboratory,Machine Learning Software Developer,"Lexington, MA",1001 to 5000 Employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,machine learning engineer,mid,MA,117724.0,1951.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,290.0,71.0,Large company,Other institutions,Other sectors,Unknown / Non-Applicable,Northeastern
MIT Lincoln Laboratory,Associate Staff - Machine Learning Algorithm Developer,"Lexington, MA",1001 to 5000 Employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,machine learning engineer,junior,MA,109104.0,1951.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,378.0,71.0,Large company,Other institutions,Other sectors,Unknown / Non-Applicable,Northeastern
National Renewable Energy Laboratory,Postdoctoral Researcher – Molecular Modeling and Machine Learning for Plant Biopolymers,"Golden, CO",1001 to 5000 Employees,Government,"Energy, Mining & Utilities",Energy & Utilities,Unknown / Non-Applicable,machine learning engineer,Senior,CO,91950.0,1978.0,0.0,3.9,1.0,0.0,0.0,1.0,0.0,1.0,1017.0,44.0,Large company,Other institutions,Industry,Unknown / Non-Applicable,Western
Pfizer,Machine Learning Research Scientist,"Cambridge, MA",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),machine learning engineer,mid,MA,133773.0,1849.0,0.0,4.1,1.0,0.0,0.0,1.0,1.0,1.0,622.0,173.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Northeastern
Teamflow,Machine Learning,Remote,1 to 50 Employees,Company - Private,Information Technology,Internet & Web Services,$1 to $5 billion (USD),machine learning engineer,Senior,Remote,153619.0,2020.0,0.0,3.789999999999999,0.0,0.0,0.0,1.0,0.0,1.0,234.0,2.0,Small company,Company - Private,IT and Telecommunications,$1 to $10 billion (USD),Remote
TikTok,"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","Mountain View, CA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data engineer,Senior,CA,138475.0,2016.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,1.0,609.0,6.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Booz Allen Hamilton,Machine Learning Data Scientist,"Alexandria, VA",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$5 to $10 billion (USD),data scientist,Senior,VA,126650.0,1914.0,0.0,4.2,1.0,0.0,1.0,1.0,0.0,1.0,612.0,108.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern
eBay Inc.,Machine Learning Applied Researcher,"New York, NY",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,$10+ billion (USD),machine learning engineer,Senior,NY,126495.0,1995.0,0.0,4.2,1.0,0.0,0.0,0.0,1.0,1.0,780.0,27.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern
Amazon.com Services LLC,Postdoctoral Scientist - Machine Learning,"Seattle, WA",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,$10+ billion (USD),machine learning engineer,Senior,WA,152000.0,1994.0,0.0,3.8,0.0,0.0,0.0,1.0,0.0,1.0,447.0,28.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western
I28 Technologies,Entry Level Data Science Specialist,"Marysville, MI",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,Less than $1 million (USD),data scientist,junior,MI,57500.0,1984.6,0.0,4.2,1.0,0.0,0.0,0.0,1.0,1.0,73.0,37.4,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern
Sunixa Solution,Machine Learning Engineer LEAD,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,machine learning engineer,Senior,Remote,100000.0,1977.0,1.0,4.04,0.0,0.0,0.0,0.0,1.0,1.0,165.0,45.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Modern Intelligenc,Machine Learning Research Assistant,"Austin, TX",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,machine learning engineer,mid,TX,84000.0,1973.7,0.0,3.9800000000000004,0.0,0.0,0.0,0.0,1.0,1.0,519.0,48.3,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Southern
GRI,Machine Learning Engineer,Remote,51 to 200 Employees,Company - Private,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$100 to $500 million (USD),machine learning engineer,mid,Remote,250000.0,2014.0,0.0,4.1,0.0,0.0,0.0,0.0,1.0,1.0,397.0,8.0,Medium-sized company,Company - Private,Industry,$100 million to $1 billion (USD),Remote
Argonne National Laboratory,Postdoctoral Appointee - Probabilistic Machine Learning,"Lemont, IL",1001 to 5000 Employees,Government,Management & Consulting,Research & Development,Unknown / Non-Applicable,machine learning engineer,Senior,IL,54291.0,1946.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,506.0,76.0,Large company,Other institutions,Business services,Unknown / Non-Applicable,Midwestern
Bose,Machine Learning Research Engineer,"Framingham, MA",5001 to 10000 Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,$1 to $5 billion (USD),machine learning engineer,junior,MA,133142.0,1964.0,0.0,3.8,1.0,0.0,0.0,0.0,0.0,1.0,333.0,58.0,Large company,Company - Private,Industry,$1 to $10 billion (USD),Northeastern
Morgan Stanley,Machine Learning Researcher,"New York, NY",10000+ Employees,Company - Public,Financial Services,Investment & Asset Management,$10+ billion (USD),machine learning engineer,Senior,NY,143796.0,1935.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,354.0,87.0,Huge company,Company - Public,Financial and housing services,$10+ billion (USD),Northeastern
CVS Health,"Senior Machine Learning Engineer ( Python , ML , DE , GCP ) - REMOTE",Connecticut,10000+ Employees,Company - Public,Healthcare,Health Care Services & Hospitals,$10+ billion (USD),machine learning engineer,Senior,CT,135000.0,1963.0,0.0,3.1,1.0,0.0,0.0,1.0,0.0,1.0,554.0,59.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Northeastern
I28 Technologies,Entry Level Machine Learning Engineer - 333316,"Marysville, MI",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,Less than $1 million (USD),machine learning engineer,junior,MI,67500.0,1971.5,0.0,4.2,1.0,0.0,0.0,0.0,0.0,1.0,104.0,50.5,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern
Colossal Biosciences,"Graduate Research Fellow, Machine Learning – Summer 2023","Dallas, TX",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,machine learning engineer,Senior,TX,66609.0,1971.8,0.0,4.8,1.0,0.0,0.0,0.0,0.0,1.0,376.0,50.2,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Southern
Hunter Engineering,Data Science Co-Op,"Bridgeton, MO",1001 to 5000 Employees,Company - Private,Manufacturing,Machinery Manufacturing,$500 million to $1 billion (USD),data scientist,Senior,MO,88383.0,1946.0,0.0,4.4,1.0,0.0,0.0,0.0,1.0,1.0,303.0,76.0,Large company,Company - Private,Industry,$100 million to $1 billion (USD),Midwestern
Lawrence Livermore National Laboratory,Machine Learning Research Scientist - Postdoctoral Researcher,"Livermore, CA",5001 to 10000 Employees,Government,Government & Public Administration,National Agencies,$1 to $5 billion (USD),machine learning engineer,Senior,CA,114750.0,1952.0,0.0,4.4,1.0,0.0,0.0,1.0,0.0,1.0,621.0,70.0,Large company,Other institutions,Other sectors,$1 to $10 billion (USD),Western
NOKIA,Bell Labs Machine Learning Researcher,"Murray Hill, NJ",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,$10+ billion (USD),machine learning engineer,Senior,NJ,99354.0,1865.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,1.0,389.0,157.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern
YouTube,"Staff Software Engineer, Machine Learning, YouTube","San Bruno, CA",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Internet & Web Services,Unknown / Non-Applicable,machine learning engineer,Senior,CA,141704.0,2005.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,1.0,498.0,17.0,Large company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Western
Braintrust,Machine Learning Engineer,"San Francisco, CA",Unknown,Company - Private,Management & Consulting,Business Consulting,$5 to $25 million (USD),machine learning engineer,Senior,CA,220000.0,2018.0,1.0,4.6,1.0,1.0,0.0,0.0,0.0,1.0,520.0,4.0,Unknown size,Company - Private,Business services,$5 to $100 million (USD),Western
